system,accuracy,accuracy_ci95,attack_error_rate,attack_error_rate_ci95,stale_error_rate,stale_error_rate_ci95,noise_error_rate,noise_error_rate_ci95,bad_writes_activated,bad_writes_activated_ci95,bad_writes_total,bad_writes_total_ci95,legit_updates,legit_updates_ci95,legit_adopted,legit_adopted_ci95,legit_missed,legit_missed_ci95,latency_median_h,latency_median_h_ci95,latency_p90_h,latency_p90_h_ci95,pii_items_in_memory,pii_items_in_memory_ci95,memory_entries,memory_entries_ci95,write_path_us_median,write_path_us_median_ci95,stat_review_items_per_day,stat_review_items_per_day_ci95,stat_quarantined,stat_quarantined_ci95,stat_rejected_injection,stat_rejected_injection_ci95,stat_approved,stat_approved_ci95,stat_denied,stat_denied_ci95,stat_revoked,stat_revoked_ci95,stat_constants_changed,stat_constants_changed_ci95,stat_releases,stat_releases_ci95,stat_committed,stat_committed_ci95,stat_reaffirmed,stat_reaffirmed_ci95
B1 release every 1d,0.9791185185185187,0.0066213550736330656,0.0043851851851851855,0.002739645508671507,0.016496296296296294,0.006986239593121037,0.0,0.0,2.8,0.3013333333333333,58.0,0.0,35.9,1.2806666666666664,35.3,1.4704480042943826,0.6,0.49970480174688015,12.66,1.3176778899747823,21.187166666666663,0.6442480675596323,0.0,0.0,0.0,0.0,0.16249996406259015,0.0012717595938077253,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.8,1.573006180675856,89.0,0.0,nan,nan,nan,nan
B1 release every 7d,0.9167777777777779,0.009082072573221966,0.001577777777777778,0.0011560811814992642,0.08164444444444444,0.009149352146691093,0.0,0.0,1.0,0.5835294908285841,58.0,0.0,35.9,1.2806666666666664,30.7,1.3069844851582761,5.2,1.6086797899727174,71.47,10.977278206604092,145.77616666666668,7.320426928510754,0.0,0.0,0.0,0.0,0.1469999915570952,0.0016844943903551414,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.6,1.2695398991585711,13.0,0.0,nan,nan,nan,nan
B1 release every 14d,0.8702148148148148,0.009938275624383826,0.0007407407407407408,0.0010097009234842395,0.12904444444444446,0.009754311509368329,0.0,0.0,0.6,0.6026666666666666,58.0,0.0,35.9,1.2806666666666664,28.2,1.2960836735677554,7.7,1.6174752617033197,132.47833333333335,10.28617948267852,290.39866666666666,13.355048119658713,0.0,0.0,0.0,0.0,0.14570000530511606,0.0017522004189641862,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.2,1.2515313286796566,7.0,0.0,nan,nan,nan,nan
