system,accuracy,accuracy_ci95,attack_error_rate,attack_error_rate_ci95,stale_error_rate,stale_error_rate_ci95,noise_error_rate,noise_error_rate_ci95,bad_writes_activated,bad_writes_activated_ci95,bad_writes_total,bad_writes_total_ci95,legit_updates,legit_updates_ci95,legit_adopted,legit_adopted_ci95,legit_missed,legit_missed_ci95,latency_median_h,latency_median_h_ci95,latency_p90_h,latency_p90_h_ci95,pii_items_in_memory,pii_items_in_memory_ci95,memory_entries,memory_entries_ci95,write_path_us_median,write_path_us_median_ci95,stat_review_items_per_day,stat_review_items_per_day_ci95,stat_quarantined,stat_quarantined_ci95,stat_rejected_injection,stat_rejected_injection_ci95,stat_approved,stat_approved_ci95,stat_denied,stat_denied_ci95,stat_revoked,stat_revoked_ci95,stat_constants_changed,stat_constants_changed_ci95,stat_releases,stat_releases_ci95,stat_committed,stat_committed_ci95,stat_reaffirmed,stat_reaffirmed_ci95
reviewer p_bad=0.00,0.9850592592592593,0.006650804589854144,0.005274074074074074,0.003229685710994187,0.009666666666666667,0.006235273614624325,0.0,0.0,2.7,0.34522070235333985,58.0,0.0,35.9,1.2806666666666664,35.7,1.3497076226600584,0.2,0.30133333333333334,0.0,0.0,12.720166666666668,2.1791850948703115,0.0,0.0,55.9,1.5962847142314207,8.233749986175098,0.07242064445808492,1.0077777777777777,0.02621676967793093,91.2,2.329250141616873,17.9,2.867618524141591,10.4,1.514181260248881,80.3,2.738032464704861,3.2,0.45199999999999996,nan,nan,nan,nan,36.9,1.5962847142314207,5.8,1.421386490563195
reviewer p_bad=0.02,0.9706148148148148,0.00973237456602918,0.012688888888888892,0.006867697182118372,0.009592592592592594,0.006138182827640839,0.007103703703703704,0.004912357632122075,3.7,0.7570906301244403,58.0,0.0,35.9,1.2806666666666664,35.7,1.3497076226600584,0.2,0.30133333333333334,0.0,0.0,12.720166666666668,2.1791850948703115,0.0,0.0,57.4,1.8818260635173838,7.50855002706885,0.048735626365571626,1.0077777777777777,0.02621676967793093,91.2,2.329250141616873,17.9,2.867618524141591,12.6,1.3972251866546856,78.1,2.9839988829309783,3.2,0.45199999999999996,nan,nan,nan,nan,38.4,1.8818260635173838,6.5,1.315640106141831
reviewer p_bad=0.05,0.9577259259259259,0.01279048223425486,0.023414814814814815,0.008543008113081703,0.008170370370370371,0.006054917620894921,0.010688888888888888,0.007244185759391292,4.9,0.9195605230519389,58.0,0.0,35.9,1.2806666666666664,35.7,1.3497076226600584,0.2,0.30133333333333334,0.0,0.0,12.9175,2.1386989195305692,0.0,0.0,59.2,2.043742101581747,7.08749998921121,0.05184252837750993,1.0077777777777777,0.02621676967793093,91.2,2.329250141616873,17.9,2.867618524141591,14.9,1.7969803065760686,75.6,2.8227390952760754,3.2,0.45199999999999996,nan,nan,nan,nan,40.2,2.043742101581747,7.0,1.0653742169877314
reviewer p_bad=0.10,0.9413333333333334,0.017464906986827258,0.035525925925925926,0.011038800382352262,0.008140740740740742,0.006066241735521379,0.015,0.010613014963183114,6.0,1.3890780315654614,58.0,0.0,35.9,1.2806666666666664,35.8,1.421386490563195,0.1,0.22599999999999998,0.0,0.0,13.062500000000004,1.9237841873537507,0.0,0.0,60.6,2.503062657359313,6.958149958791182,0.05510774370580805,1.0077777777777777,0.02621676967793093,91.2,2.329250141616873,17.9,2.867618524141591,18.3,2.7380324647048613,72.1,2.6409679202056875,3.1,0.5273333333333332,nan,nan,nan,nan,41.6,2.503062657359313,9.0,1.6504706399489
reviewer p_bad=0.20,0.9125185185185185,0.021128822193377892,0.056940740740740736,0.016831083905824416,0.00788148148148148,0.006030963991440919,0.02265925925925926,0.0097287712130075,8.9,1.6314493896873143,58.0,0.0,35.9,1.2806666666666664,35.8,1.421386490563195,0.1,0.22599999999999998,0.0,0.0,12.898500000000002,2.168952031486659,0.0,0.0,64.5,1.971662017464228,6.9112500455048576,0.05199835824769936,1.0077777777777777,0.02621676967793093,91.2,2.329250141616873,17.9,2.867618524141591,25.2,2.561333333333333,64.9,2.2461464283919192,3.1,0.5273333333333332,nan,nan,nan,nan,45.5,1.971662017464228,12.0,1.7827120413073507
reviewer p_legit=0.80,0.9543037037037037,0.013405059804110378,0.012688888888888892,0.006867697182118372,0.0259037037037037,0.013029345990731736,0.007103703703703704,0.004912357632122075,3.7,0.7570906301244403,58.0,0.0,35.9,1.2806666666666664,34.5,1.439241312482224,1.4,0.6904414047066797,0.0,0.0,11.161000000000005,3.6831205165963317,0.0,0.0,56.1,2.142700373101402,6.8895500021426415,0.05515649564919865,1.0077777777777777,0.02621676967793093,91.2,2.329250141616873,17.9,2.867618524141591,11.1,1.48580558022314,79.6,3.1279212834653545,3.2,0.45199999999999996,nan,nan,nan,nan,37.1,2.142700373101402,6.3,1.3497076226600584
reviewer p_legit=0.90,0.961437037037037,0.015050355249144064,0.012688888888888892,0.006867697182118372,0.018770370370370375,0.010417536375991198,0.007103703703703704,0.004912357632122075,3.7,0.7570906301244403,58.0,0.0,35.9,1.2806666666666664,35.1,1.5235223806838032,0.8,0.6567407741601281,0.0,0.0,11.226833333333335,2.9677082755664217,0.0,0.0,56.7,2.2612552069837473,6.884399965656485,0.060591061362162274,1.0077777777777777,0.02621676967793093,91.2,2.329250141616873,17.9,2.867618524141591,11.9,1.6658719438580303,78.8,2.9906479416860665,3.2,0.45199999999999996,nan,nan,nan,nan,37.7,2.2612552069837473,6.5,1.4781467375662596
