system,accuracy,accuracy_ci95,attack_error_rate,attack_error_rate_ci95,stale_error_rate,stale_error_rate_ci95,noise_error_rate,noise_error_rate_ci95,bad_writes_activated,bad_writes_activated_ci95,bad_writes_total,bad_writes_total_ci95,legit_updates,legit_updates_ci95,legit_adopted,legit_adopted_ci95,legit_missed,legit_missed_ci95,latency_median_h,latency_median_h_ci95,latency_p90_h,latency_p90_h_ci95,pii_items_in_memory,pii_items_in_memory_ci95,memory_entries,memory_entries_ci95,write_path_us_median,write_path_us_median_ci95,stat_review_items_per_day,stat_review_items_per_day_ci95,stat_quarantined,stat_quarantined_ci95,stat_rejected_injection,stat_rejected_injection_ci95,stat_approved,stat_approved_ci95,stat_denied,stat_denied_ci95,stat_revoked,stat_revoked_ci95,stat_constants_changed,stat_constants_changed_ci95,stat_releases,stat_releases_ci95,stat_committed,stat_committed_ci95,stat_reaffirmed,stat_reaffirmed_ci95
B4 full,0.9706148148148148,0.00973237456602918,0.012688888888888892,0.006867697182118372,0.009592592592592594,0.006138182827640839,0.007103703703703704,0.004912357632122075,3.7,0.7570906301244403,58.0,0.0,35.9,1.2806666666666664,35.7,1.3497076226600584,0.2,0.30133333333333334,0.0,0.0,12.720166666666668,2.1791850948703115,0.0,0.0,57.4,1.8818260635173838,8.220499989874952,0.04116709121465821,1.0077777777777777,0.02621676967793093,91.2,2.329250141616873,17.9,2.867618524141591,12.6,1.3972251866546856,78.1,2.9839988829309783,3.2,0.45199999999999996,nan,nan,nan,nan,38.4,1.8818260635173838,6.5,1.315640106141831
- writer registry (trust),0.7580740740740741,0.02762325933955227,0.20591851851851853,0.027003407543774092,0.0010962962962962962,0.0023316886614688183,0.03491111111111111,0.009715754744650173,31.8,1.9874298310464529,58.0,0.0,35.9,1.2806666666666664,35.9,1.2806666666666664,0.0,0.0,0.0,0.0,0.04300000000000061,0.09718000000000135,0.0,0.0,89.5,2.54911793023042,7.478750046630012,0.02761007302006804,0.05777777777777778,0.023615720973366592,5.2,2.1254148876029926,17.9,2.867618524141591,0.8,0.9409130317586919,4.4,2.1360686630661787,2.6,0.7682522733813127,nan,nan,nan,nan,70.5,2.54911793023042,48.6,3.8145753222198775
- injection screen,0.9634888888888888,0.011800617957102341,0.016888888888888887,0.008099743292365829,0.010118518518518518,0.009041556823726614,0.009503703703703705,0.00960156198096528,4.2,0.6567407741601281,58.0,0.0,35.9,1.2806666666666664,35.6,1.3134815483202562,0.3,0.34522070235333985,0.0,0.0,12.662000000000003,2.301718524731325,0.0,0.0,57.5,1.6244773518478692,7.044549988677318,0.031078742821456402,1.1933333333333334,0.028311161501592835,108.1,2.5312448408726573,0.0,0.0,12.5,1.516054088744857,94.8,2.648478305241206,3.7,0.6779999999999998,nan,nan,nan,nan,38.5,1.6244773518478692,7.3,1.5819999999999999
- trust & injection,0.7072370370370372,0.030621607353412534,0.2570888888888889,0.028284411094494314,0.0010444444444444444,0.002341902717787906,0.03462962962962963,0.009503416074218441,44.3,1.9072876611099392,58.0,0.0,35.9,1.2806666666666664,35.8,1.2515313286796566,0.1,0.22599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,103.0,2.1307484339754628,6.930699998974887,0.033470040127578836,0.07444444444444445,0.0233921527883034,6.7,2.105293750947306,0.0,0.0,0.9,0.8556221907672412,5.8,2.1254148876029926,3.4,0.6904414047066798,nan,nan,nan,nan,84.0,2.1307484339754628,51.6,3.600271347798354
- quarantine (reject instead),0.8787481481481482,0.024176209003662085,0.005296296296296296,0.003215815491601624,0.11595555555555555,0.024758495952529668,0.0,0.0,2.7,0.34522070235333985,58.0,0.0,35.9,1.2806666666666664,27.2,1.1572926260122034,8.7,1.3069844851582761,0.0,0.0,0.0,0.0,0.0,0.0,45.6,1.8514229962683055,6.871199991564936,0.029156663717061798,0.0,0.0,0.0,0.0,17.9,2.867618524141591,0.0,0.0,0.0,0.0,3.2,0.45199999999999996,nan,nan,nan,nan,26.6,1.8514229962683055,5.8,0.9994096034937602
- provenance rollback,0.9566296296296297,0.01664991298738302,0.03096296296296296,0.01547490104502448,0.005303703703703704,0.004169023345525941,0.007103703703703704,0.004912357632122075,3.7,0.7570906301244403,58.0,0.0,35.9,1.2806666666666664,35.7,1.3497076226600584,0.2,0.30133333333333334,0.0,0.0,12.720166666666668,2.1791850948703115,0.0,0.0,57.7,1.846819367934443,6.898999981785892,0.023606522492676776,1.0077777777777777,0.02621676967793093,91.2,2.329250141616873,17.9,2.867618524141591,12.6,1.3972251866546856,78.1,2.9839988829309783,0.0,0.0,nan,nan,nan,nan,38.7,1.846819367934443,6.2,1.2515313286796566
- PII redaction,0.9706148148148148,0.00973237456602918,0.012688888888888892,0.006867697182118372,0.009592592592592594,0.006138182827640839,0.007103703703703704,0.004912357632122075,3.7,0.7570906301244403,58.0,0.0,35.9,1.2806666666666664,35.7,1.3497076226600584,0.2,0.30133333333333334,0.0,0.0,12.720166666666668,2.1791850948703115,12.4,3.3555059893322263,57.4,1.8818260635173838,6.840349988124217,0.02591295901569362,1.0077777777777777,0.02621676967793093,91.2,2.329250141616873,17.9,2.867618524141591,12.6,1.3972251866546856,78.1,2.9839988829309783,3.2,0.45199999999999996,nan,nan,nan,nan,38.4,1.8818260635173838,6.5,1.315640106141831
